Animal	Diet	Day	Intake
5039	B	3	18
5039	B	4	18
5039	B	5	24
5039	B	6	38
5039	B	7	32
5039	B	8	37
5039	B	9	32
5039	B	10	28
5039	B	11	35
5039	B	12	39
5039	B	13	39
5039	B	14	46
5039	B	15	70
5039	B	16	
5039	B	17	63
5039	B	18	104
5039	B	19	72
5039	B	20	65
5039	B	21	91
5039	B	22	71
5039	B	23	64
5039	B	24	90
5039	B	25	79
5039	B	26	68
5039	B	27	91
5039	B	28	95
5039	B	29	143
5039	B	30	168
5039	B	31	160
5039	B	32	172
5039	B	33	170
5039	B	34	189
5039	B	35	160
5039	B	36	161
5039	B	37	285
5039	B	38	337
5039	B	39	261
5039	B	40	390
5039	B	41	368
5039	B	42	422
5039	B	43	574
5039	B	44	388
5039	B	45	490
5039	B	46	712
5039	B	47	574
5039	B	48	543
5039	B	49	639
5039	B	50	922
5039	B	51	100
5039	B	52	1250
5039	B	53	1500
5039	B	54	1407
5039	B	55	1876
5039	B	56	2167
5039	B	57	2500
5044	B	1	49
5044	B	2	26
5044	B	3	
5044	B	4	24
5044	B	5	25
5044	B	6	32
5044	B	7	36
5044	B	8	39
5044	B	9	44
5044	B	10	68
5044	B	11	42
5044	B	12	39
5044	B	13	29
5044	B	14	58
5044	B	15	50
5044	B	16	66
5044	B	17	37
5044	B	18	32
5044	B	19	162
5044	B	20	102
5044	B	21	113
5044	B	22	122
5044	B	23	198
5044	B	24	208
5044	B	25	252
5044	B	26	986
5044	B	27	380
5044	B	28	296
5044	B	29	413
5044	B	30	461
5044	B	31	428
5044	B	32	427
5044	B	33	646
5044	B	34	413
5044	B	35	530
5044	B	36	583
5044	B	37	750
5044	B	38	561
5044	B	39	944
5044	B	40	551
5044	B	41	421
5044	B	42	367
5044	B	43	352
5044	B	44	723
5044	B	45	807
5044	B	46	999
5044	B	47	1250
5044	B	48	895
5044	B	49	840
5044	B	50	1750
5044	B	51	2000
5044	B	52	2000
5044	B	53	2117
5044	B	54	2500
5048	B	1	
5048	B	2	0
5048	B	3	27
5048	B	4	41
5048	B	5	39
5048	B	6	38
5048	B	7	52
5048	B	8	31
5048	B	9	26
5048	B	10	30
5048	B	11	33
5048	B	12	26
5048	B	13	13
5048	B	14	38
5048	B	15	26
5048	B	16	43
5048	B	17	55
5048	B	18	58
5048	B	19	28
5048	B	20	23
5048	B	21	48
5048	B	22	302
5048	B	23	50
5048	B	24	65
5048	B	25	36
5048	B	26	69
5048	B	27	33
5048	B	28	45
5048	B	29	116
5048	B	30	71
5048	B	31	
5048	B	32	250
5048	B	33	156
5048	B	34	98
5048	B	35	108
5048	B	36	180
5048	B	37	97
5048	B	38	219
5048	B	39	266
5048	B	40	426
5048	B	41	424
5048	B	42	470
5048	B	43	700
5048	B	44	730
5048	B	45	853
5048	B	46	950
5048	B	47	998
5048	B	48	1245
5048	B	49	1330
5048	B	50	1622
5048	B	51	1864
5048	B	52	1442
5048	B	53	1290
5048	B	54	1694
5048	B	55	1867
5048	B	56	1804
5048	B	57	2250
5048	B	58	2500
5048	B	59	2153
5048	B	60	1688
5048	B	61	2250
5048	B	62	2250
5048	B	63	2500
5048	B	64	2750
5050	B	1	48
5050	B	2	66
5050	B	3	35
5050	B	4	41
5050	B	5	37
5050	B	6	67
5050	B	7	54
5050	B	8	48
5050	B	9	29
5050	B	10	39
5050	B	11	49
5050	B	12	55
5050	B	13	30
5050	B	14	77
5050	B	15	40
5050	B	16	40
5050	B	17	42
5050	B	18	100
5050	B	19	136
5050	B	20	109
5050	B	21	72
5050	B	22	95
5050	B	23	161
5050	B	24	146
5050	B	25	195
5050	B	26	209
5050	B	27	218
5050	B	28	268
5050	B	29	252
5050	B	30	514
5050	B	31	478
5050	B	32	475
5050	B	33	867
5050	B	34	585
5050	B	35	435
5050	B	36	1029
5050	B	37	756
5050	B	38	1395
5050	B	39	1100
5050	B	40	754
5050	B	41	430
5050	B	42	130
5050	B	43	47
5050	B	44	149
5050	B	45	258
5050	B	46	541
5050	B	47	480
5050	B	48	351
5050	B	49	744
5050	B	50	120
5050	B	51	940
5050	B	52	1000
5050	B	53	1250
5050	B	54	1500
5050	B	55	1750
5050	B	56	2000
5050	B	57	2490
5050	B	58	2740
5050	B	59	2537
5050	B	60	3000
5052	B	1	45
5052	B	2	37
5052	B	3	37
5052	B	4	40
5052	B	5	42
5052	B	6	31
5052	B	7	31
5052	B	8	47
5052	B	9	61
5052	B	10	61
5052	B	11	40
5052	B	12	66
5052	B	13	59
5052	B	14	50
5052	B	15	49
5052	B	16	47
5052	B	17	78
5052	B	18	107
5052	B	19	91
5052	B	20	103
5052	B	21	250
5052	B	22	120
5052	B	23	93
5052	B	24	268
5052	B	25	76
5052	B	26	96
5052	B	27	119
5052	B	28	201
5052	B	29	197
5052	B	30	236
5052	B	31	290
5052	B	32	264
5052	B	33	193
5052	B	34	207
5052	B	35	150
5052	B	36	243
5052	B	37	185
5052	B	38	1181
5052	B	39	155
5052	B	40	150
5052	B	41	208
5052	B	42	156
5052	B	43	90
5052	B	44	85
5052	B	45	86
5052	B	46	159
5052	B	47	240
5052	B	48	315
5052	B	49	431
5052	B	50	500
5052	B	51	273
5052	B	52	559
5052	B	53	1047
5052	B	54	1471
5052	B	55	1668
5052	B	56	
5052	B	57	1270
5052	B	58	2250
5057	B	1	23
5057	B	2	28
5057	B	3	22
5057	B	4	31
5057	B	5	20
5057	B	6	25
5057	B	7	21
5057	B	8	17
5057	B	9	38
5057	B	10	26
5057	B	11	18
5057	B	12	35
5057	B	13	10
5057	B	14	0
5057	B	15	100
5057	B	16	103
5057	B	17	57
5057	B	18	218
5057	B	19	131
5057	B	20	117
5057	B	21	140
5057	B	22	159
5057	B	23	176
5057	B	24	191
5057	B	25	265
5057	B	26	129
5057	B	27	180
5057	B	28	275
5057	B	29	170
5057	B	30	379
5057	B	31	171
5057	B	32	133
5057	B	33	287
5057	B	34	244
5057	B	35	313
5057	B	36	423
5057	B	37	383
5057	B	38	327
5057	B	39	727
5057	B	40	570
5057	B	41	636
5057	B	42	949
5057	B	43	786
5057	B	44	445
5057	B	45	1070
5057	B	46	720
5057	B	47	1671
5057	B	48	1226
5057	B	49	16
5057	B	50	100
5057	B	51	1822
5057	B	52	1072
5057	B	53	550
5057	B	54	2000
5057	B	55	2458
5062	B	1	100
5062	B	2	100
5062	B	3	100
5062	B	4	13
5062	B	5	1
5062	B	6	27
5062	B	7	36
5062	B	8	43
5062	B	9	20
5062	B	10	29
5062	B	11	44
5062	B	12	5
5062	B	13	33
5062	B	14	25
5062	B	15	17
5062	B	16	17
5062	B	17	19
5062	B	18	14
5062	B	19	12
5062	B	20	27
5062	B	21	27
5062	B	22	19
5062	B	23	40
5062	B	24	37
5062	B	25	4
5062	B	26	25
5062	B	27	80
5062	B	28	174
5062	B	29	0
5062	B	30	82
5062	B	31	152
5062	B	32	178
5062	B	33	
5062	B	34	220
5062	B	35	105
5062	B	36	212
5062	B	37	367
5062	B	38	363
5062	B	39	466
5062	B	40	407
5062	B	41	422
5062	B	42	395
5062	B	43	724
5062	B	44	656
5062	B	45	1206
5062	B	46	1387
5062	B	47	1131
5062	B	48	1168
5062	B	49	1509
5062	B	50	1410
5062	B	51	882
5062	B	52	2000
5062	B	53	2342
5062	B	54	2750
5062	B	55	2394
5062	B	56	2434
5062	B	57	3000
5062	B	58	3500
4926	C	1	9
4926	C	2	19
4926	C	3	14
4926	C	4	15
4926	C	5	3
4926	C	6	20
4926	C	7	15
4926	C	8	16
4926	C	9	20
4926	C	10	8
4926	C	11	0
4926	C	12	5
4926	C	13	15
4926	C	14	14
4926	C	15	54
4926	C	16	84
4926	C	17	34
4926	C	18	72
4926	C	19	70
4926	C	20	88
4926	C	21	106
4926	C	22	59
4926	C	23	107
4926	C	24	52
4926	C	25	105
4926	C	26	123
4926	C	27	132
4926	C	28	149
4926	C	29	296
4926	C	30	169
4926	C	31	249
4926	C	32	221
4926	C	33	244
4926	C	34	290
4926	C	35	350
4926	C	36	308
4926	C	37	605
4926	C	38	597
4926	C	39	483
4926	C	40	498
4926	C	41	575
4926	C	42	456
4926	C	43	763
4926	C	44	1072
4926	C	45	970
4926	C	46	1159
4926	C	47	767
4926	C	48	1179
4926	C	49	1029
4926	C	50	1380
4926	C	51	1804
4926	C	52	873
4926	C	53	1480
4926	C	54	1104
4926	C	55	1632
4926	C	56	2000
4955	C	1	10
4955	C	2	9
4955	C	3	10
4955	C	4	13
4955	C	5	21
4955	C	6	12
4955	C	7	9
4955	C	8	3
4955	C	9	23
4955	C	10	26
4955	C	11	22
4955	C	12	10
4955	C	13	32
4955	C	14	0
4955	C	15	10
4955	C	16	54
4955	C	17	29
4955	C	18	37
4955	C	19	85
4955	C	20	124
4955	C	21	233
4955	C	22	47
4955	C	23	42
4955	C	24	64
4955	C	25	40
4955	C	26	100
4955	C	27	72
4955	C	28	
4955	C	29	
4955	C	30	42
4955	C	31	42
4955	C	32	50
4955	C	33	54
4955	C	34	34
4955	C	35	103
4955	C	36	96
4955	C	37	57
4955	C	38	90
4955	C	39	190
4955	C	40	140
4955	C	41	398
4955	C	42	89
4955	C	43	151
4955	C	44	144
4955	C	45	161
4955	C	46	48
4955	C	47	97
4955	C	48	216
4955	C	49	198
4955	C	50	277
4955	C	51	164
4955	C	52	395
4955	C	53	500
4970	C	1	13
4970	C	2	23
4970	C	3	60
4970	C	4	16
4970	C	5	164
4970	C	6	31
4970	C	7	7
4970	C	8	9
4970	C	9	33
4970	C	10	15
4970	C	11	17
4970	C	12	26
4970	C	13	2
4970	C	14	38
4970	C	15	522
4970	C	16	40
4970	C	17	26
4970	C	18	38
4970	C	19	38
4970	C	20	67
4970	C	21	76
4970	C	22	222
4970	C	23	166
4970	C	24	
4970	C	25	134
4970	C	26	162
4970	C	27	204
4970	C	28	244
4970	C	29	334
4970	C	30	341
4970	C	31	455
4970	C	32	519
4970	C	33	522
4970	C	34	545
4970	C	35	618
4970	C	36	627
4970	C	37	731
4970	C	38	672
4970	C	39	973
4970	C	40	661
4970	C	41	968
4970	C	42	823
4970	C	43	1085
4970	C	44	423
4970	C	45	64
4970	C	46	
4970	C	47	122
4970	C	48	516
4970	C	49	333
4970	C	50	750
4970	C	51	1000
4970	C	52	1241
4970	C	53	1490
4970	C	54	1500
4970	C	55	1444
4970	C	56	1106
4970	C	57	506
4970	C	58	997
4970	C	59	1383
4970	C	60	1335
4970	C	61	1812
4970	C	62	2246
4970	C	63	2499
4970	C	64	3000
4970	C	65	3429
4970	C	66	4000
5013	C	1	0
5013	C	2	15
5013	C	3	35
5013	C	4	11
5013	C	5	10
5013	C	6	10
5013	C	7	13
5013	C	8	13
5013	C	9	7
5013	C	10	10
5013	C	11	8
5013	C	12	10
5013	C	13	10
5013	C	14	29
5013	C	15	14
5013	C	16	19
5013	C	17	15
5013	C	18	17
5013	C	19	63
5013	C	20	62
5013	C	21	100
5013	C	22	37
5013	C	23	55
5013	C	24	42
5013	C	25	36
5013	C	26	43
5013	C	27	93
5013	C	28	50
5013	C	29	82
5013	C	30	200
5013	C	31	143
5013	C	32	180
5013	C	33	274
5013	C	34	274
5013	C	35	132
5013	C	36	311
5013	C	37	250
5013	C	38	320
5013	C	39	300
5013	C	40	395
5013	C	41	332
5013	C	42	416
5013	C	43	433
5013	C	44	548
5013	C	45	548
5013	C	46	582
5013	C	47	662
5013	C	48	652
5013	C	49	790
5013	C	50	1047
5013	C	51	1090
5013	C	52	1553
5013	C	53	1160
5013	C	54	1500
5013	C	55	1999
5013	C	56	2468
5013	C	57	2824
5013	C	58	2099
5013	C	59	2220
5013	C	60	1800
5013	C	61	2787
5019	C	1	7
5019	C	2	13
5019	C	3	24
5019	C	4	9
5019	C	5	16
5019	C	6	20
5019	C	7	16
5019	C	8	6
5019	C	9	16
5019	C	10	16
5019	C	11	2
5019	C	12	23
5019	C	13	12
5019	C	14	9
5019	C	15	12
5019	C	16	14
5019	C	17	14
5019	C	18	28
5019	C	19	26
5019	C	20	52
5019	C	21	10
5019	C	22	12
5019	C	23	7
5019	C	24	25
5019	C	25	0
5019	C	26	21
5019	C	27	10
5019	C	28	42
5019	C	29	20
5019	C	30	20
5019	C	31	68
5019	C	32	16
5019	C	33	53
5019	C	34	32
5019	C	35	36
5019	C	36	31
5019	C	37	118
5019	C	38	247
5019	C	39	256
5019	C	40	322
5019	C	41	342
5019	C	42	251
5019	C	43	378
5019	C	44	422
5019	C	45	588
5019	C	46	550
5019	C	47	720
5019	C	48	873
5019	C	49	1099
5019	C	50	1277
5019	C	51	1750
5019	C	52	1332
5019	C	53	1886
5019	C	54	2240
5019	C	55	2490
5019	C	56	2999
5019	C	57	3250
5019	C	58	1750
5019	C	59	3250
5025	C	1	22
5025	C	2	10
5025	C	3	7
5025	C	4	18
5025	C	5	16
5025	C	6	11
5025	C	7	23
5025	C	8	9
5025	C	9	21
5025	C	10	6
5025	C	11	77
5025	C	12	44
5025	C	13	20
5025	C	14	28
5025	C	15	37
5025	C	16	29
5025	C	17	44
5025	C	18	32
5025	C	19	66
5025	C	20	62
5025	C	21	56
5025	C	22	110
5025	C	23	35
5025	C	24	99
5025	C	25	68
5025	C	26	142
5025	C	27	304
5025	C	28	122
5025	C	29	102
5025	C	30	332
5025	C	31	87
5025	C	32	245
5025	C	33	
5025	C	34	144
5025	C	35	240
5025	C	36	81
5025	C	37	382
5025	C	38	418
5025	C	39	332
5025	C	40	188
5025	C	41	214
5025	C	42	187
5025	C	43	224
5025	C	44	350
5025	C	45	460
5025	C	46	396
5025	C	47	528
5025	C	48	732
5025	C	49	
5025	C	50	841
5025	C	51	387
5025	C	52	976
5025	C	53	536
5025	C	54	852
5025	C	55	855
5025	C	56	724
5025	C	57	1091
5025	C	58	1484
5025	C	59	
5025	C	60	2000
5025	C	61	2203
5025	C	62	2500
5025	C	63	2868
5025	C	64	2814
5025	C	65	2941
5025	C	66	3250
5028	C	1	10
5028	C	2	17
5028	C	3	17
5028	C	4	31
