Sample	Animal	Diet	AgeGroup	AgeExact	Daysln	TypeAll	Type	Sex	ScourSample	chao	shannon	ADGKG	Gain	TotalIntake	ill.scour	ill.resp	ill.ketosis	ill.mastitis	ill.all	MPE	Effic
5019.2yr.L1	5019	C	2yr	853	6.748759547	L1	L	F	N	29	2.504759	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.2yr.L2	5019	C	2yr	854	6.749931194	L2	L	F	N	37	2.520773	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.2yr.L3	5019	C	2yr	855	6.751101469	L3	L	F	N	47.333333	2.626695	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.2yr.S1	5019	C	2yr	853	6.748759547	S1	S	F	N	35	2.412166	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.2yr.S2	5019	C	2yr	854	6.749931194	S2	S	F	N	29.2	2.448752	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.2yr.S3	5019	C	2yr	855	6.751101469	S3	S	F	N	35	2.500466	0.65	559.28		8	0	0	0	8	6.77	8.32
5020.1yr.F	5020	A	1yr	365	5.899897354	F	F	F	N	19	1.855888	1.07	387.82		0	0	0	0	0		
5020.2yr.F	5020	A	2yr	895	6.796823718	F	F	F	N	150.333333	2.963306	0.7	631.63		0	0	0	0	0	3.66	5.3
5022.1yr.F	5022	B	1yr	358	5.880532986	F	F	F	N	30	2.746434	1	364.23		6	0	0	0	9		
5022.1yr.L1	5022	B	1yr	358	5.880532986	L1	L	F	N	35	2.505364	1	364.23		6	0	0	0	9		
5022.1yr.L2	5022	B	1yr	359	5.883322388	L2	L	F	N	29.5	2.43834	1	364.23		6	0	0	0	9		
5022.1yr.L3	5022	B	1yr	360	5.886104031	L3	L	F	N	26.142857	2.051578	1	364.23		6	0	0	0	9		
5022.1yr.S1	5022	B	1yr	358	5.880532986	S1	S	F	N	33	2.272972	1	364.23		6	0	0	0	9		
5022.1yr.S2	5022	B	1yr	359	5.883322388	S2	S	F	N	35.5	2.671875	1	364.23		6	0	0	0	9		
5022.1yr.S3	5022	B	1yr	360	5.886104031	S3	S	F	N	22.375	2.186721	1	364.23		6	0	0	0	9		
5022.2yr.F	5022	B	2yr	805	6.690842277	F	F	F	N	101	2.772892	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.2yr.L1	5022	B	2yr	804	6.689599269	L1	L	F	N	32.5	2.541766	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.2yr.L2	5022	B	2yr	805	6.690842277	L2	L	F	N	31.333333	2.485631	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.2yr.L3	5022	B	2yr	806	6.692083743	L3	L	F	N	29	2.521707	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.2yr.S1	5022	B	2yr	804	6.689599269	S1	S	F	N	31.2	2.486906	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.2yr.S2	5022	B	2yr	805	6.690842277	S2	S	F	N	39.75	2.557822	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.2yr.S3	5022	B	2yr	806	6.692083743	S3	S	F	N	37	2.525827	0.72	583.47		6	0	0	0	9	4.43	9.5
5025.1yr.F	5025	C	1yr	369	5.910796644	F	F	F	N	78.142857	2.912944	0.93	337.17		0	0	0	0	5		
5026.1yr.F	5026	A	1yr	365	5.899897354	F	F	F	N	55	2.493663	0.98	356.98		1	0	0	0	8		
5026.2yr.F	5026	A	2yr	803	6.688354714	F	F	F	N	113.666667	3.061076	0.68	547.49		1	0	1	0	9	5.15	8.31
5027.1yr.F	5027	B	1yr	359	5.883322388	F	F	F	N	58	2.65028	0.91	332.94		8	0	0	0	8		
5027.2yr.F	5027	B	2yr	892	6.793466133	F	F	F	N	98.25	3.038754	0.65	578.63		8	0	0	0	8	4.97	6.75
5028.1yr.F	5028	C	1yr	358	5.880532986	F	F	F	N	31.666667	2.195506	1	364.39		12	0	0	0	12		
5028.2yr.F	5028	C	2yr	855	6.751101469	F	F	F	N	34	2.014431	0.67	574.55		12	0	0	10	22	5.89	8.27
5031.1yr.F	5031	A	1yr	368	5.908082938	F	F	F	N	125.5	2.664283	0.86	311.62		14	0	0	0	14		
5031.1yr.L1	5031	A	1yr	368	5.908082938	L1	L	F	N	32	2.106978	0.86	311.62		14	0	0	0	14		
5031.1yr.L2	5031	A	1yr	369	5.910796644	L2	L	F	N	29.5	2.059353	0.86	311.62		14	0	0	0	14		
5031.1yr.L3	5031	A	1yr	370	5.913503006	L3	L	F	N	49.5	2.385366	0.86	311.62		14	0	0	0	14		
5031.1yr.S1	5031	A	1yr	368	5.908082938	S1	S	F	N	30.5	1.863655	0.86	311.62		14	0	0	0	14		
5031.1yr.S2	5031	A	1yr	369	5.910796644	S2	S	F	N	29	2.037663	0.86	311.62		14	0	0	0	14		
5031.1yr.S3	5031	A	1yr	370	5.913503006	S3	S	F	N	69	2.542416	0.86	311.62		14	0	0	0	14		
5031.2yr.F	5031	A	2yr	843	6.736966958	F	F	F	N	50	2.152785	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.L1	5031	A	2yr	842	6.735780014	L1	L	F	N	16	2.05947	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.L2	5031	A	2yr	843	6.736966958	L2	L	F	N	16.5	2.051025	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.L3	5031	A	2yr	844	6.738152495	L3	L	F	N	14	2.015872	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.S1	5031	A	2yr	842	6.735780014	S1	S	F	N	30	2.01706	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.S2	5031	A	2yr	843	6.736966958	S2	S	F	N	18	2.139443	0.63	531.61		14	0	0	9	23	3.03	5.51
5031.2yr.S3	5031	A	2yr	844	6.738152495	S3	S	F	N	15.5	2.094401	0.63	531.61		14	0	0	9	23	3.03	5.51
5032.1yr.F	5032	B	1yr	367	5.905361848	F	F	F	N	33.166667	2.008389	0.9	328.7		2	0	0	0	9		
5032.2yr.F	5032	B	2yr	836	6.728628613	F	F	F	N	89.428571	2.786145	0.7	585.74		2	0	0	0	9	2.68	4.16
5034.1yr.F	5034	B	1yr	366	5.902633333	F	F	F	N	46.5	2.540735	0.88	319.03		5	0	0	0	5		
5034.1yr.L1	5034	B	1yr	366	5.902633333	L1	L	F	N	35	2.811204	0.88	319.03		5	0	0	0	5		
5034.1yr.L2	5034	B	1yr	367	5.905361848	L2	L	F	N	44	2.817587	0.88	319.03		5	0	0	0	5		
5034.1yr.L3	5034	B	1yr	368	5.908082938	L3	L	F	N	39	2.857954	0.88	319.03		5	0	0	0	5		
5034.1yr.S1	5034	B	1yr	366	5.902633333	S1	S	F	N	50.6	2.863539	0.88	319.03		5	0	0	0	5		
5034.1yr.S2	5034	B	1yr	367	5.905361848	S2	S	F	N	49.6	2.590541	0.88	319.03		5	0	0	0	5		
5034.1yr.S3	5034	B	1yr	368	5.908082938	S3	S	F	N	45.2	2.619191	0.88	319.03		5	0	0	0	5		
5034.2yr.F	5034	B	2yr	850	6.745236349	F	F	F	N	27.25	2.256371	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.2yr.L1	5034	B	2yr	849	6.744059186	L1	L	F	N	21	2.168944	0.65	552.63		5	0	0	23	28	3.63	6.71
