"ETOH"	"Lactate"
"Otu01071"	NA	NA
"Otu01075"	NA	NA
"Otu01078"	NA	NA
"Otu01079"	NA	NA
"Otu01080"	NA	NA
"Otu01081"	NA	NA
"Otu01082"	NA	NA
"Otu01087"	NA	NA
"Otu01089"	NA	NA
"Otu01090"	NA	NA
"Otu01091"	NA	NA
"Otu01094"	NA	NA
"Otu01095"	NA	NA
"Otu01096"	NA	NA
"Otu01097"	NA	NA
"Otu01098"	NA	NA
"Otu01100"	NA	NA
"Otu01102"	NA	NA
"Otu01104"	NA	NA
"Otu01105"	NA	NA
"Otu01106"	NA	NA
"Otu01108"	NA	NA
"Otu01110"	NA	NA
"Otu01111"	NA	NA
"Otu01117"	NA	NA
"Otu01118"	NA	NA
"Otu01119"	NA	NA
"Otu01120"	NA	NA
"Otu01124"	NA	NA
"Otu01127"	-0.369274472937998	-0.418330013267038
"Otu01128"	NA	NA
"Otu01129"	NA	NA
"Otu01130"	NA	NA
"Otu01131"	NA	NA
"Otu01134"	NA	NA
"Otu01135"	NA	NA
"Otu01136"	NA	NA
"Otu01138"	NA	NA
"Otu01140"	NA	NA
"Otu01141"	NA	NA
"Otu01144"	NA	NA
"Otu01150"	NA	NA
"Otu01151"	NA	NA
"Otu01153"	NA	NA
"Otu01154"	NA	NA
"Otu01156"	NA	NA
"Otu01159"	NA	NA
"Otu01160"	NA	NA
"Otu01161"	NA	NA
"Otu01162"	NA	NA
"Otu01164"	NA	NA
"Otu01168"	NA	NA
"Otu01169"	NA	NA
"Otu01171"	NA	NA
"Otu01173"	NA	NA
"Otu01176"	NA	NA
"Otu01178"	NA	NA
"Otu01180"	NA	NA
"Otu01182"	NA	NA
"Otu01184"	NA	NA
"Otu01187"	NA	NA
"Otu01188"	NA	NA
"Otu01191"	NA	NA
"Otu01192"	NA	NA
"Otu01194"	NA	NA
"Otu01195"	NA	NA
"Otu01196"	NA	NA
"Otu01198"	NA	NA
"Otu01200"	NA	NA
"Otu01206"	NA	NA
"Otu01209"	NA	NA
"Otu01210"	NA	NA
"Otu01212"	NA	NA
"Otu01213"	NA	NA
"Otu01214"	NA	NA
"Otu01216"	NA	NA
"Otu01217"	NA	NA
"Otu01218"	NA	NA
"Otu01226"	NA	NA
"Otu01230"	NA	NA
"Otu01231"	NA	NA
"Otu01232"	NA	NA
"Otu01235"	NA	NA
"Otu01238"	NA	NA
"Otu01240"	NA	NA
"Otu01241"	NA	NA
"Otu01242"	NA	NA
"Otu01247"	NA	NA
"Otu01253"	NA	NA
"Otu01255"	NA	NA
"Otu01257"	NA	NA
"Otu01263"	NA	NA
"Otu01264"	NA	NA
"Otu01266"	0.123091490979333	0.239045721866879
"Otu01270"	NA	NA
"Otu01271"	NA	NA
"Otu01277"	0.369274472937998	0.478091443733757
"Otu01283"	NA	NA
"Otu01284"	NA	NA
"Otu01287"	NA	NA
"Otu01289"	NA	NA
"Otu01290"	NA	NA
"Otu01291"	NA	NA
"Otu01293"	NA	NA
"Otu01294"	NA	NA
"Otu01297"	NA	NA
"Otu01298"	NA	NA
"Otu01299"	NA	NA
"Otu01300"	NA	NA
"Otu01301"	NA	NA
"Otu01303"	NA	NA
